,phage,host
0,NC_026583,NZ_LN831039.1
1,NC_026584,NZ_LN831039.1
2,NC_026585,NZ_LN831039.1
3,NC_026588,NZ_LN831039.1
4,NC_026589,NZ_LN831039.1
5,NC_011269,NZ_LN831039.1
6,MK450423,NZ_LN831039.1
7,MK450422,NZ_LN831039.1
8,MK524503,NZ_LN831039.1
9,MK450427,NZ_LN831039.1
10,NC_004066,NZ_PKRZ01000001.1
11,MK450425,NZ_LN831039.1
12,MK450424,NZ_LN831039.1
13,MH590593,NZ_LN831039.1
14,MK450429,NZ_LN831039.1
15,MH590592,NZ_LN831039.1
16,NC_027987,NZ_CP046062.1
17,KY549153,NC_012490.1
18,NC_027985,NZ_LN831039.1
19,MK524506,NZ_LN831039.1
20,NC_005822,NZ_PKRZ01000001.1
21,MH590590,CP019892
22,MF541405,NZ_OCQN01000001
23,NC_020856,NVUC01000001
24,NC_013936,NZ_LN831039.1
25,NC_020853,NZ_JXYE01000002
26,NC_020858,NVUC01000001
27,KX620748,NZ_CP010341.1
28,KX620749,NZ_CP010341.1
29,MH834611,QLNP01000098
30,MH834613,NZ_LN831039.1
31,MH834612,QLNP01000098
32,MH834615,NZ_LN831039.1
33,MH834614,QLNP01000098
34,MH834617,NZ_LN831039.1
35,MH834616,QLNP01000098
36,MH834619,QLNP01000098
37,MH834618,QLNP01000098
44,MH697588,NZ_LN831039.1
45,MH697589,CP019892
46,KT591490,NZ_LN831039.1
47,JX901189,CP018363
49,MH697581,NZ_LN831039.1
50,MH697582,NZ_LN831039.1
51,MH697583,NZ_LN831039.1
52,MH697584,NZ_LN831039.1
53,MH697585,NZ_LN831039.1
54,MH697586,NZ_LN831039.1
55,MH697587,NZ_LN831039.1
56,KT591076,NZ_LN831039.1
57,MK359300,NZ_LN831039.1
58,MK359301,NZ_LN831039.1
60,MK359303,NZ_LN831039.1
61,MK359304,NZ_LN831039.1
62,MK359305,NZ_LN831039.1
63,MK359306,NZ_LN831039.1
64,MK359307,NZ_LN831039.1
65,MK359308,NZ_LN831039.1
66,MK359309,NZ_LN831039.1
67,NC_007501,NC_013198.1
68,MG812486,NZ_LN831039.1
69,KY965064,NZ_LN831039.1
70,KY965065,NZ_LN831039.1
71,NC_004313,CP030026
72,NC_022753,NZ_LN831039.1
73,MG812489,NZ_LN831039.1
74,KY965063,NZ_LN831039.1
75,NC_001835,NZ_PKRZ01000001.1
76,NC_019530,AP014565
77,NC_022754,CP018657
78,KX458237,NZ_LN831039.1
79,KX458236,NZ_LN831039.1
80,NC_016568,NC_017379.1
81,NC_016565,NZ_CP023560
82,NC_016564,NZ_CM002803
83,NC_016567,NZ_LK391965
84,NC_016566,NZ_NQCD01000010.1
85,NC_016562,LR134359
86,MG944223,NZ_LN831039.1
87,MG944222,CP019892
88,MG944221,NZ_LN831039.1
89,MG944220,NZ_LN831039.1
90,MG944226,CP019892
91,MG944225,NZ_LN831039.1
92,MG944224,NZ_LN831039.1
93,NC_011085,NZ_FRBZ01000017.1
95,JQ300538,NZ_LN831039.1
96,NC_023741,NZ_LN831039.1
97,NC_023740,NZ_LN831039.1
98,NC_023742,NZ_LN831039.1
99,NC_023745,NZ_LN831039.1
100,NC_023747,NZ_LN831039.1
101,NC_023746,NZ_LN831039.1
102,NC_023748,NZ_LN831039.1
103,NC_001900,NZ_LN831039.1
104,KX781992,NZ_LN831039.1
105,NC_001909,NZ_PKRZ01000001.1
106,KM101117,NZ_LN831039.1
107,NC_029059,NZ_LN831039.1
108,NC_007019,NZ_CP035306.1
109,MG770213,NZ_LN831039.1
111,NC_029050,NZ_CCKZ01000001
112,MG770216,NZ_LN831039.1
115,NC_025422,CP023315
116,NC_011398,NZ_CP019870.1
117,NC_023686,NZ_LN831039.1
118,NC_023565,NZ_LN831039.1
119,NC_023564,NZ_LN831039.1
120,NC_023687,NZ_LN831039.1
121,MH183162,CP019892
122,NC_023563,NZ_LN831039.1
123,JX307705,NZ_LN831039.1
124,JX307704,NZ_LN831039.1
125,NC_023568,NZ_CP009467.1
126,JX307703,NZ_LN831039.1
127,JX307702,NZ_LN831039.1
128,MK112534,NZ_LN831039.1
129,MH727549,NZ_LN831039.1
130,MK112536,NZ_LN831039.1
131,JN116825,NZ_CP027793.1
132,MK112530,NZ_LN831039.1
133,JN116823,NZ_CP027793.1
134,NC_031085,NZ_NQCD01000010.1
135,NC_031087,NZ_UWXU01000001
136,MH727543,NZ_LN831039.1
137,MK112538,LC361338
138,MH727545,NZ_LN831039.1
139,MH727546,NZ_LN831039.1
141,MK279866,NZ_LN831039.1
142,JF957058,NZ_LN831039.1
145,HM152765,NZ_LN831039.1
146,HM152766,NZ_LN831039.1
147,MK279869,LC361338
152,MH976517,NZ_LN831039.1
155,KX589269,NZ_LN831039.1
156,NC_022762,NZ_AP019750.1
157,NC_022764,NZ_NUFU01000011.1
158,NC_022765,NZ_CP011007.1
159,NC_022766,NZ_CP011007.1
160,NC_010353,NZ_CP035306.1
161,NC_022768,AP014565
162,MK279859,NZ_LN831039.1
163,MK279858,NZ_LN831039.1
164,MK279851,LC361338
165,JF957060,NZ_LN831039.1
166,MK279853,NZ_CP022580.1
167,MK279852,NZ_LN831039.1
168,MK279854,LC361338
169,MK279857,NZ_LN831039.1
170,MK279856,LC361338
171,MH825709,NZ_LN831039.1
172,NC_011534,NZ_BCTM01000001
173,NC_029071,AP014565
174,KT783672,LC361338
175,NC_028988,NZ_CP009764.1
176,NC_028986,NZ_LN831039.1
177,NC_028805,NZ_CP025545.1
178,NC_013195,NZ_CP023560
179,NC_024121,NZ_CP050013.1
180,NC_010363,NZ_PKRZ01000001.1
181,NC_004678,NZ_CP023560
182,NC_004679,NZ_CP023560
183,NC_013694,NZ_LN831039.1
184,NC_020483,NZ_JNIU01000001
185,NC_020482,NZ_JNIU01000001
186,NC_020481,NZ_JNIU01000001
187,NC_020480,NZ_CP011007.1
188,NC_019726,NZ_CP023560
189,MG298964,NZ_DF968533
190,KX752698,NZ_LN831039.1
192,MG757167,NZ_LN831039.1
193,NC_027991,NZ_CP023560
194,MG757164,NZ_LN831039.1
195,MG757165,NZ_LN831039.1
196,NC_013697,NC_010002.1
197,MG757162,NZ_LN831039.1
198,NC_005857,NZ_JH603143.1
199,NC_028800,NZ_UWXU01000001
200,NC_022053,NZ_LN831039.1
201,MG925354,NZ_LN831039.1
202,KT363731,NZ_LN831039.1
203,MG925355,NZ_LN831039.1
204,MF185728,NZ_LN831039.1
205,MF185729,NZ_LN831039.1
206,KX620751,NZ_CP010341.1
207,MF185725,LC361338
208,MF185726,NZ_LN831039.1
209,KX620752,NZ_CP010341.1
210,MF185721,LC361338
211,MF185722,NZ_LN831039.1
212,MF185723,LC361338
213,MH697575,NZ_LN831039.1
214,NC_001697,NZ_CP009610.1
215,MH697577,NZ_LN831039.1
216,MH697576,NZ_LN831039.1
217,KT990218,NC_012490.1
218,MH697579,NZ_LN831039.1
219,MH697578,NZ_LN831039.1
220,NC_021061,NZ_LN831039.1
221,KT364588,NZ_LN831039.1
222,NC_022058,NZ_LN831039.1
223,MH047631,CP019892
224,MF668283,NZ_LN831039.1
226,MF668281,NZ_LN831039.1
227,MF668280,NZ_LN831039.1
228,MF668287,NZ_LN831039.1
229,MF668286,NC_012490.1
230,MF668285,LC361338
231,MF668284,NZ_LN831039.1
232,MH697593,NZ_LN831039.1
233,MH697592,NZ_LN831039.1
234,MH697591,NZ_LN831039.1
235,MH697590,NZ_LN831039.1
236,JN049605,NZ_LN831039.1
237,KY083062,NZ_LN831039.1
238,MH000607,NZ_LN831039.1
239,MH000606,NZ_LN831039.1
243,MK359312,NZ_LN831039.1
244,MK359311,NZ_LN831039.1
245,MK359310,NZ_LN831039.1
246,MK359317,NZ_LN831039.1
247,MK359316,NZ_LN831039.1
248,MK359315,NZ_LN831039.1
249,MK359314,NZ_LN831039.1
251,MK359318,NZ_LN831039.1
252,GQ303259,NZ_LN831039.1
253,KJ829260,NZ_LN831039.1
254,NC_004302,NZ_PKRZ01000001.1
255,NC_004303,NZ_CP035306.1
256,NC_004305,NZ_FLYG01000003
257,NC_001825,NZ_FEBQ01000001.1
258,MH230878,NZ_LN831039.1
259,NC_029072,NZ_CCKZ01000001
260,KX688047,NZ_LN831039.1
261,MH910041,QLNP01000098
262,MH910040,NZ_LN831039.1
263,MH590587,NZ_LN831039.1
264,NC_016571,NZ_CP048408.1
265,MH153800,NZ_QTTZ01000001
266,KT591489,NZ_LN831039.1
267,MH153802,CP019892
268,MH153803,CP019892
269,MH153804,NC_012490.1
270,MH153805,CP019892
271,MH153806,CP019892
272,MH153807,NC_012490.1
273,MH153808,NZ_FNLM01000034
275,MG944218,CP019892
276,MG944219,CP019892
277,KM652553,NZ_LN831039.1
278,NC_002515,NC_002771.1
279,MH045554,CP019892
280,KM923971,NZ_LN831039.1
281,MH727561,NZ_LN831039.1
282,NC_020880,NZ_QMJJ01000010.1
283,NC_025439,NZ_MSEI01000003
284,NC_025438,NZ_LN831039.1
285,NC_025433,NZ_LN831039.1
286,NC_007021,NZ_CP023560
289,KX670828,NZ_LN831039.1
291,MH651169,NZ_LN831039.1
292,NC_028838,NZ_CP019870.1
293,NC_029048,NZ_CP019870.1
294,NC_029044,NZ_LN831039.1
295,NC_002486,NZ_CP023560
297,NC_029042,CP029897
298,NC_029043,NZ_LN831039.1
299,MF919530,NZ_LN831039.1
300,MF919531,NZ_LN831039.1
301,MF919532,NZ_LN831039.1
302,MF919534,NZ_LN831039.1
303,MF919535,NZ_LN831039.1
304,MF919536,NZ_LN831039.1
306,MF919538,NZ_LN831039.1
307,MF919539,NZ_LN831039.1
308,NC_023577,NZ_LN831039.1
309,NC_023574,NZ_PKRZ01000001.1
310,NC_023572,NZ_LN831039.1
311,NC_023573,NZ_CP023560
312,NC_023571,NZ_CP014324.1
313,JQ911768,NZ_LN831039.1
314,NC_023578,NZ_LN831039.1
315,NC_023579,NC_013961.1
316,MK112527,NZ_LN831039.1
317,MK112526,LC361338
318,MH727559,NZ_LN831039.1
319,MH727558,NZ_LN831039.1
320,NC_002661,NZ_CP023560
322,MH727553,NZ_LN831039.1
324,MH727551,NZ_LN831039.1
325,MH727550,CP032788
326,MH727557,NZ_LN831039.1
327,MH727556,CP019892
328,MK112529,LC361338
329,MK112528,LC361338
