Unnamed: 0,Unnamed: 0.1,phage,host,species,relation
0.0,0.0,NC_026583,NZ_LN831039.1,Mycobacteriaceae;,1
1.0,1.0,NC_026584,NZ_LN831039.1,Mycobacteriaceae;,1
2.0,2.0,NC_026585,NZ_LN831039.1,Mycobacteriaceae;,1
3.0,3.0,NC_026588,NZ_LN831039.1,Mycobacteriaceae;,1
4.0,4.0,NC_026589,NZ_LN831039.1,Mycobacteriaceae;,1
5.0,5.0,NC_011269,NZ_LN831039.1,Mycobacteriaceae;,1
6.0,6.0,MK450423,NZ_LN831039.1,Mycobacteriaceae;,1
7.0,7.0,MK450422,NZ_LN831039.1,Mycobacteriaceae;,1
8.0,8.0,MK524503,NZ_LN831039.1,Mycobacteriaceae;,1
9.0,9.0,MK450427,NZ_LN831039.1,Mycobacteriaceae;,1
10.0,10.0,NC_004066,NZ_PKRZ01000001.1,Lactobacillales;,1
11.0,11.0,MK450425,NZ_LN831039.1,Mycobacteriaceae;,1
12.0,12.0,MK450424,NZ_LN831039.1,Mycobacteriaceae;,1
13.0,13.0,MH590593,NZ_LN831039.1,Mycobacteriaceae;,1
14.0,14.0,MK450429,NZ_LN831039.1,Mycobacteriaceae;,1
15.0,15.0,MH590592,NZ_LN831039.1,Mycobacteriaceae;,1
16.0,16.0,NC_027987,NZ_CP046062.1,Lactobacillales;,1
17.0,17.0,KY549153,NC_012490.1,Nocardiaceae;,1
18.0,18.0,NC_027985,NZ_LN831039.1,Mycobacteriaceae;,1
19.0,19.0,MK524506,NZ_LN831039.1,Mycobacteriaceae;,1
20.0,20.0,NC_005822,NZ_PKRZ01000001.1,Lactobacillales;,1
21.0,21.0,MH590590,CP019892,Microbacteriaceae;,1
22.0,22.0,MF541405,NZ_OCQN01000001,Streptomycetaceae;,1
23.0,23.0,NC_020856,NVUC01000001,Rhodobacterales;,1
24.0,24.0,NC_013936,NZ_LN831039.1,Mycobacteriaceae;,1
25.0,25.0,NC_020853,NZ_JXYE01000002,Rhodobacterales;,1
26.0,26.0,NC_020858,NVUC01000001,Rhodobacterales;,1
27.0,27.0,KX620748,NZ_CP010341.1,Propionibacteriaceae;,1
28.0,28.0,KX620749,NZ_CP010341.1,Propionibacteriaceae;,1
29.0,29.0,MH834611,QLNP01000098,Micrococcaceae;,1
30.0,30.0,MH834613,NZ_LN831039.1,Mycobacteriaceae;,1
31.0,31.0,MH834612,QLNP01000098,Micrococcaceae;,1
32.0,32.0,MH834615,NZ_LN831039.1,Mycobacteriaceae;,1
33.0,33.0,MH834614,QLNP01000098,Micrococcaceae;,1
34.0,34.0,MH834617,NZ_LN831039.1,Mycobacteriaceae;,1
35.0,35.0,MH834616,QLNP01000098,Micrococcaceae;,1
36.0,36.0,MH834619,QLNP01000098,Micrococcaceae;,1
37.0,37.0,MH834618,QLNP01000098,Micrococcaceae;,1
38.0,44.0,MH697588,NZ_LN831039.1,Mycobacteriaceae;,1
39.0,45.0,MH697589,CP019892,Microbacteriaceae;,1
40.0,46.0,KT591490,NZ_LN831039.1,Mycobacteriaceae;,1
41.0,47.0,JX901189,CP018363,Mycobacteriaceae;,1
42.0,49.0,MH697581,NZ_LN831039.1,Mycobacteriaceae;,1
43.0,50.0,MH697582,NZ_LN831039.1,Mycobacteriaceae;,1
44.0,51.0,MH697583,NZ_LN831039.1,Mycobacteriaceae;,1
45.0,52.0,MH697584,NZ_LN831039.1,Mycobacteriaceae;,1
46.0,53.0,MH697585,NZ_LN831039.1,Mycobacteriaceae;,1
47.0,54.0,MH697586,NZ_LN831039.1,Mycobacteriaceae;,1
48.0,55.0,MH697587,NZ_LN831039.1,Mycobacteriaceae;,1
49.0,56.0,KT591076,NZ_LN831039.1,Mycobacteriaceae;,1
50.0,57.0,MK359300,NZ_LN831039.1,Mycobacteriaceae;,1
51.0,58.0,MK359301,NZ_LN831039.1,Mycobacteriaceae;,1
52.0,60.0,MK359303,NZ_LN831039.1,Mycobacteriaceae;,1
53.0,61.0,MK359304,NZ_LN831039.1,Mycobacteriaceae;,1
54.0,62.0,MK359305,NZ_LN831039.1,Mycobacteriaceae;,1
55.0,63.0,MK359306,NZ_LN831039.1,Mycobacteriaceae;,1
56.0,64.0,MK359307,NZ_LN831039.1,Mycobacteriaceae;,1
57.0,65.0,MK359308,NZ_LN831039.1,Mycobacteriaceae;,1
58.0,66.0,MK359309,NZ_LN831039.1,Mycobacteriaceae;,1
59.0,67.0,NC_007501,NC_013198.1,Lactobacillales;,1
60.0,68.0,MG812486,NZ_LN831039.1,Mycobacteriaceae;,1
61.0,69.0,KY965064,NZ_LN831039.1,Mycobacteriaceae;,1
62.0,70.0,KY965065,NZ_LN831039.1,Mycobacteriaceae;,1
63.0,71.0,NC_004313,CP030026,Enterobacterales;,1
64.0,72.0,NC_022753,NZ_LN831039.1,Mycobacteriaceae;,1
65.0,73.0,MG812489,NZ_LN831039.1,Mycobacteriaceae;,1
66.0,74.0,KY965063,NZ_LN831039.1,Mycobacteriaceae;,1
67.0,75.0,NC_001835,NZ_PKRZ01000001.1,Lactobacillales;,1
68.0,76.0,NC_019530,AP014565,Enterobacterales;,1
69.0,77.0,NC_022754,CP018657,Enterobacterales;,1
70.0,78.0,KX458237,NZ_LN831039.1,Mycobacteriaceae;,1
71.0,79.0,KX458236,NZ_LN831039.1,Mycobacteriaceae;,1
72.0,80.0,NC_016568,NC_017379.1,Campylobacterales;,1
73.0,81.0,NC_016565,NZ_CP023560,Bacillales;,1
74.0,82.0,NC_016564,NZ_CM002803,Oscillatoriales;,1
75.0,83.0,NC_016567,NZ_LK391965,Vibrionales;,1
76.0,84.0,NC_016566,NZ_NQCD01000010.1,Enterobacterales;,1
77.0,85.0,NC_016562,LR134359,Campylobacterales;,1
78.0,86.0,MG944223,NZ_LN831039.1,Mycobacteriaceae;,1
79.0,87.0,MG944222,CP019892,Microbacteriaceae;,1
80.0,88.0,MG944221,NZ_LN831039.1,Mycobacteriaceae;,1
81.0,89.0,MG944220,NZ_LN831039.1,Mycobacteriaceae;,1
82.0,90.0,MG944226,CP019892,Microbacteriaceae;,1
83.0,91.0,MG944225,NZ_LN831039.1,Mycobacteriaceae;,1
84.0,92.0,MG944224,NZ_LN831039.1,Mycobacteriaceae;,1
85.0,93.0,NC_011085,NZ_FRBZ01000017.1,Enterobacterales;,1
86.0,95.0,JQ300538,NZ_LN831039.1,Mycobacteriaceae;,1
87.0,96.0,NC_023741,NZ_LN831039.1,Mycobacteriaceae;,1
88.0,97.0,NC_023740,NZ_LN831039.1,Mycobacteriaceae;,1
89.0,98.0,NC_023742,NZ_LN831039.1,Mycobacteriaceae;,1
90.0,99.0,NC_023745,NZ_LN831039.1,Mycobacteriaceae;,1
91.0,100.0,NC_023747,NZ_LN831039.1,Mycobacteriaceae;,1
92.0,101.0,NC_023746,NZ_LN831039.1,Mycobacteriaceae;,1
93.0,102.0,NC_023748,NZ_LN831039.1,Mycobacteriaceae;,1
94.0,103.0,NC_001900,NZ_LN831039.1,Mycobacteriaceae;,1
95.0,104.0,KX781992,NZ_LN831039.1,Mycobacteriaceae;,1
96.0,105.0,NC_001909,NZ_PKRZ01000001.1,Lactobacillales;,1
97.0,106.0,KM101117,NZ_LN831039.1,Mycobacteriaceae;,1
98.0,107.0,NC_029059,NZ_LN831039.1,Mycobacteriaceae;,1
99.0,108.0,NC_007019,NZ_CP035306.1,Lactobacillales;,1
100.0,109.0,MG770213,NZ_LN831039.1,Mycobacteriaceae;,1
101.0,111.0,NC_029050,NZ_CCKZ01000001,Enterobacterales;,1
102.0,112.0,MG770216,NZ_LN831039.1,Mycobacteriaceae;,1
103.0,115.0,NC_025422,CP023315,Caulobacterales;,1
104.0,116.0,NC_011398,NZ_CP019870.1,Clostridiales;,1
105.0,117.0,NC_023686,NZ_LN831039.1,Mycobacteriaceae;,1
106.0,118.0,NC_023565,NZ_LN831039.1,Mycobacteriaceae;,1
107.0,119.0,NC_023564,NZ_LN831039.1,Mycobacteriaceae;,1
108.0,120.0,NC_023687,NZ_LN831039.1,Mycobacteriaceae;,1
109.0,121.0,MH183162,CP019892,Microbacteriaceae;,1
110.0,122.0,NC_023563,NZ_LN831039.1,Mycobacteriaceae;,1
111.0,123.0,JX307705,NZ_LN831039.1,Mycobacteriaceae;,1
112.0,124.0,JX307704,NZ_LN831039.1,Mycobacteriaceae;,1
113.0,125.0,NC_023568,NZ_CP009467.1,Vibrionales;,1
114.0,126.0,JX307703,NZ_LN831039.1,Mycobacteriaceae;,1
115.0,127.0,JX307702,NZ_LN831039.1,Mycobacteriaceae;,1
116.0,128.0,MK112534,NZ_LN831039.1,Mycobacteriaceae;,1
117.0,129.0,MH727549,NZ_LN831039.1,Mycobacteriaceae;,1
118.0,130.0,MK112536,NZ_LN831039.1,Mycobacteriaceae;,1
119.0,131.0,JN116825,NZ_CP027793.1,Nocardiaceae;,1
