phage,host
NC_026583,NZ_LN831039.1
NC_026584,NZ_LN831039.1
NC_026585,NZ_LN831039.1
NC_026588,NZ_LN831039.1
NC_026589,NZ_LN831039.1
NC_011269,NZ_LN831039.1
MK450423,NZ_LN831039.1
MK450422,NZ_LN831039.1
MK524503,NZ_LN831039.1
MK450427,NZ_LN831039.1
NC_004066,NZ_PKRZ01000001.1
MK450425,NZ_LN831039.1
MK450424,NZ_LN831039.1
MH590593,NZ_LN831039.1
MK450429,NZ_LN831039.1
MH590592,NZ_LN831039.1
NC_027987,NZ_CP046062.1
KY549153,NC_012490.1
NC_027985,NZ_LN831039.1
MK524506,NZ_LN831039.1
NC_005822,NZ_PKRZ01000001.1
MH590590,CP019892
MF541405,NZ_OCQN01000001
NC_020856,NVUC01000001
NC_013936,NZ_LN831039.1
NC_020853,NZ_JXYE01000002
NC_020858,NVUC01000001
KX620748,NZ_CP010341.1
KX620749,NZ_CP010341.1
MH834611,QLNP01000098
MH834613,NZ_LN831039.1
MH834612,QLNP01000098
MH834615,NZ_LN831039.1
MH834614,QLNP01000098
MH834617,NZ_LN831039.1
MH834616,QLNP01000098
MH834619,QLNP01000098
MH834618,QLNP01000098
KX557286,NZ_CABEIC010000001.1
KX557287,NZ_CABEIC010000001.1
KX557280,NZ_CABEIC010000001.1
KX557281,NZ_CABEIC010000001.1
KX557282,NZ_CABEIC010000001.1
KX557283,NZ_CABEIC010000001.1
MH697588,NZ_LN831039.1
MH697589,CP019892
KT591490,NZ_LN831039.1
JX901189,CP018363
MH697580,NZ_CABEIC010000001.1
MH697581,NZ_LN831039.1
MH697582,NZ_LN831039.1
MH697583,NZ_LN831039.1
MH697584,NZ_LN831039.1
MH697585,NZ_LN831039.1
MH697586,NZ_LN831039.1
MH697587,NZ_LN831039.1
KT591076,NZ_LN831039.1
MK359300,NZ_LN831039.1
MK359301,NZ_LN831039.1
MK359302,NZ_CABEIC010000001.1
MK359303,NZ_LN831039.1
