phage,host,species,relation
NC_026583,NZ_CP010341.1,Nocardia,0
NC_026584,NZ_CP010341.1,Pectobacteriaceae;,0
NC_026585,NZ_CP010341.1,Comamonadaceae;,0
NC_026588,NZ_CP010341.1,Nodularia,0
NC_026589,NZ_CP010341.1,Streptomyces,0
NC_011269,NZ_CP010341.1,Gordonia,0
MK450423,NZ_CP010341.1,Mycobacterium,0
MK450422,NZ_CP010341.1,Aeromonadaceae;,0
MK524503,NZ_CP010341.1,Yersiniaceae;,0
MK450427,NZ_CP010341.1,Vibrionaceae;,0
NC_004066,NZ_CP010341.1,Gordonia,0
MK450425,NZ_CP010341.1,Thermoanaerobacterales,0
MK450424,NZ_CP010341.1,Pelagibacteraceae;,0
MH590593,NZ_CP010341.1,Sinomonas,0
MK450429,NZ_CP010341.1,Prochlorococcus,0
MH590592,NZ_CP010341.1,Pasteurellaceae;,0
NC_027987,NZ_CP010341.1,Xanthomonadaceae;,0
KY549153,NZ_CP010341.1,Trichormus,0
NC_027985,NZ_CP010341.1,Halobacteria;,0
MK524506,NZ_CP010341.1,Aeromonadaceae;,0
NC_005822,NZ_CP010341.1,Clostridiaceae;,0
MH590590,NZ_CP010341.1,Thermaceae;,0
MF541405,NZ_CP010341.1,Methanobacteria;,0
NC_020856,NZ_CP010341.1,Mycoplasma,0
NC_013936,NZ_CP010341.1,Thermoanaerobacterales,0
NC_020853,NZ_CP010341.1,Paenibacillaceae;,0
NC_020858,NZ_CP010341.1,Actinoplanes,0
KX620748,NZ_CP010341.1,Actinomyces,0
KX620749,NZ_CP010341.1,Pasteurellaceae;,0
MH834611,NZ_CP010341.1,Spiroplasmataceae;,0
MH834613,NZ_CP010341.1,Clavibacter,0
MH834612,NZ_CP010341.1,Colwelliaceae;,0
MH834615,NZ_CP010341.1,Staphylococcaceae;,0
MH834614,NZ_CP010341.1,Nodularia,0
MH834617,NZ_CP010341.1,Microcoleaceae;,0
MH834616,NZ_CP010341.1,Flavobacteriaceae;,0
MH834619,NZ_CP010341.1,Spiroplasmataceae;,0
MH834618,NZ_CP010341.1,Methanobacteria;,0
KX557286,NZ_CP010341.1,Streptomyces;,0
KX557287,NZ_CP010341.1,Hafniaceae;,0
KX557280,NZ_CP010341.1,Erwiniaceae;,0
KX557281,NZ_CP010341.1,Rhodospirillaceae;,0
KX557282,NZ_CP010341.1,Shewanellaceae;,0
KX557283,NZ_CP010341.1,Bacillaceae;,0
MH697588,NZ_CP010341.1,Tannerellaceae;,0
MH697589,NZ_CP010341.1,II.,0
KT591490,NZ_CP010341.1,Morganellaceae;,0
JX901189,NZ_CP010341.1,Paenibacillaceae;,0
MH697580,NZ_CP010341.1,Ruminococcaceae;,0
MH697581,NZ_CP010341.1,Sinomonas,0
MH697582,NZ_CP010341.1,Methanobacteria;,0
MH697583,NZ_CP010341.1,Hexapoda;,0
MH697584,NZ_CP010341.1,Idiomarinaceae;,0
MH697585,NZ_CP010341.1,Thermoanaerobacterales,0
MH697586,NZ_CP010341.1,Fusobacterium,0
MH697587,NZ_CP010341.1,Thermaceae;,0
KT591076,NZ_CP010341.1,Hexapoda;,0
MK359300,NZ_CP010341.1,Streptomyces;,0
MK359301,NZ_CP010341.1,Rhizobiaceae;,0
MK359302,NZ_CP010341.1,Staphylococcaceae;,0
MK359303,NZ_CP010341.1,Colwelliaceae;,0
MK359304,NZ_CP010341.1,Moraxellaceae;,0
MK359305,NZ_CP010341.1,Trichormus,0
MK359306,NZ_CP010341.1,II.,0
MK359307,NZ_CP010341.1,Helicobacteraceae;,0
MK359308,NZ_CP010341.1,,0
MK359309,NZ_CP010341.1,Rhodobacteraceae;,0
NC_007501,NZ_CP010341.1,Pelagibacteraceae;,0
MG812486,NZ_CP010341.1,Nodularia,0
KY965064,NZ_CP010341.1,Flavobacteriaceae;,0
KY965065,NZ_CP010341.1,Actinomyces,0
NC_004313,NZ_CP010341.1,Idiomarinaceae;,0
NC_022753,NZ_CP010341.1,Kitasatospora,0
MG812489,NZ_CP010341.1,Idiomarinaceae;,0
KY965063,NZ_CP010341.1,Enterobacteriaceae;,0
NC_001835,NZ_CP010341.1,Streptomyces,0
NC_019530,NZ_CP010341.1,Rhodospirillaceae;,0
NC_022754,NZ_CP010341.1,Bacteroidaceae;,0
KX458237,NZ_CP010341.1,Staphylococcaceae;,0
KX458236,NZ_CP010341.1,Bacillaceae;,0
NC_016568,NZ_CP010341.1,Kitasatospora,0
NC_016565,NZ_CP010341.1,Halobacteria;,0
NC_016564,NZ_CP010341.1,Helicobacteraceae;,0
NC_016567,NZ_CP010341.1,Pseudoalteromonadaceae;,0
NC_016566,NZ_CP010341.1,Yersiniaceae;,0
NC_016562,NZ_CP010341.1,Comamonadaceae;,0
MG944223,NZ_CP010341.1,,0
MG944222,NZ_CP010341.1,Ruminococcaceae;,0
MG944221,NZ_CP010341.1,Methanobacteria;,0
MG944220,NZ_CP010341.1,Yersiniaceae;,0
MG944226,NZ_CP010341.1,Morganellaceae;,0
MG944225,NZ_CP010341.1,Staphylococcaceae;,0
MG944224,NZ_CP010341.1,Morganellaceae;,0
NC_011085,NZ_CP010341.1,Actinomyces,0
NC_015720,NZ_CP010341.1,,0
JQ300538,NZ_CP010341.1,Acetobacteraceae;,0
NC_023741,NZ_CP010341.1,Cutibacterium,0
NC_023740,NZ_CP010341.1,Propionibacterium,0
NC_023742,NZ_CP010341.1,Acetobacteraceae;,0
NC_023745,NZ_CP010341.1,Streptococcaceae;,0
NC_023747,NZ_CP010341.1,Microcoleaceae;,0
NC_023746,NZ_CP010341.1,Ruminococcaceae;,0
NC_023748,NZ_CP010341.1,Rhodospirillaceae;,0
NC_001900,NZ_CP010341.1,Vibrionaceae;,0
KX781992,NZ_CP010341.1,Actinomyces,0
