phage,host,species
NC_026583,NC_005363.1,Bdellovibrionales;
NC_026584,NC_015276.1,Oceanospirillales;
NC_026585,NZ_LT629758,Micromonosporaceae;
NC_026588,CP001751,SAR116
NC_026589,CP023315,Caulobacterales;
NC_011269,NZ_PKKP01000001.1,Actinomycetaceae;
MK450423,CP003184,Thermoanaerobacterales;
MK450422,SDYW01000001,Bacteria
MK524503,NZ_CP013197.1,Entomoplasmatales;
MK450427,NC_005042.1,Prochloraceae;
NC_004066,NZ_LT629758,Micromonosporaceae;
MK450425,NC_007677.1,Order
MK450424,NC_005042.1,Prochloraceae;
MH590593,NZ_LN831027.1,Fusobacteriaceae;
MK450429,NZ_PETF01000001,Entomoplasmatales;
MH590592,NZ_CP031781.1,Vibrionales;
NC_027987,NZ_AMGI01000001.1,Entomoplasmatales;
KY549153,NZ_JNIU01000001,Pelagibacterales;
NC_027985,NZ_QGLK01000001.1,Bifidobacteriaceae;
MK524506,NZ_VISK01000013.1,Rhodospirillales;
NC_005822,NZ_VISK01000013.1,Rhodospirillales;
MH590590,NZ_AP014524.1,Vibrionales;
MF541405,NZ_CP035765.1,Sphingomonadales;
NC_020856,NZ_QTTZ01000001,Microbacteriaceae;
NC_013936,NC_005042.1,Prochloraceae;
NC_020853,NZ_RQHA01000004.1,Leptospiraceae;
NC_020858,NZ_PKRZ01000001.1,Lactobacillales;
KX620748,NC_003228.3,Bacteroidales;
KX620749,NZ_LR215047.1,Mycoplasmataceae;
MH834611,NZ_QLMF01000001.1,Rhizobiales;
MH834613,NZ_FODB01000122.1,Oceanospirillales;
MH834612,NZ_CP050956.1,Bacteroidales;
MH834615,CP023315,Caulobacterales;
MH834614,SDYW01000001,Bacteria
MH834617,NZ_CP035765.1,Sphingomonadales;
MH834616,NZ_LT629739,Brevibacteriaceae;
MH834619,NC_017287.1,Chlamydiaceae;
MH834618,NC_017379.1,Campylobacterales;
MH697588,NZ_CP018725.1,Xanthomonadales;
MH697589,NZ_CP058243.1,Xanthomonadales;
KT591490,NC_006461.1,Thermales;
JX901189,NC_017287.1,Chlamydiaceae;
MH697581,NZ_CP013197.1,Entomoplasmatales;
MH697582,NC_002771.1,Mycoplasmataceae;
MH697583,CP023315,Caulobacterales;
MH697584,NC_002771.1,Mycoplasmataceae;
MH697585,NZ_PKKP01000001.1,Actinomycetaceae;
MH697586,NZ_LT629758,Micromonosporaceae;
MH697587,NC_003228.3,Bacteroidales;
KT591076,NZ_CP047242.1,Nostocaceae;
MK359300,NZ_CP008781.1,Burkholderiales;
MK359301,NC_005363.1,Bdellovibrionales;
MK359303,CP032788,Corynebacteriaceae;
MK359304,NC_005042.1,Prochloraceae;
MK359305,NZ_CP027793.1,Nocardiaceae;
MK359306,NZ_MUTR01000001.1,Burkholderiales;
MK359307,NZ_BAOP01000115.1,Gordoniaceae;
MK359308,NC_006085.1,Propionibacteriaceae;
MK359309,NZ_CP016990.1,Aeromonadales;
NC_007501,NC_004557.1,Clostridiales;
MG812486,CP023315,Caulobacterales;
KY965064,NC_010163.1,Acholeplasmatales;
KY965065,NC_015601.1,Erysipelotrichales;
NC_004313,NC_005363.1,Bdellovibrionales;
NC_022753,NZ_LT629758,Micromonosporaceae;
MG812489,NZ_LFTY01000002,Rhodobacterales;
KY965063,NC_004556.1,Xanthomonadales;
NC_001835,NC_006461.1,Thermales;
NC_019530,NZ_LN831039.1,Mycobacteriaceae;
NC_022754,NZ_CP047242.1,Nostocaceae;
KX458237,NZ_JYBE02000001.1,Streptomycetaceae;
KX458236,NZ_AP018203.1,Leptolyngbyaceae;
NC_016568,NC_015601.1,Erysipelotrichales;
NC_016565,NZ_CP030777.1,Clostridiales;
NC_016564,NC_006461.1,Thermales;
NC_016567,NZ_LT629758,Micromonosporaceae;
NC_016566,NVUC01000001,Rhodobacterales;
NC_016562,NZ_CP008880.1,Flavobacteriales;
MG944223,NC_005042.1,Prochloraceae;
MG944222,NZ_HF571038.1,Intrasporangiaceae;
MG944221,NC_006085.1,Propionibacteriaceae;
MG944220,NZ_LT629739,Brevibacteriaceae;
MG944226,NZ_CP019870.1,Clostridiales;
MG944225,NZ_CM002803,Oscillatoriales;
MG944224,NZ_LT629758,Micromonosporaceae;
NC_011085,NVUC01000001,Rhodobacterales;
JQ300538,NC_012917.1,Enterobacterales;
NC_023741,NC_017379.1,Campylobacterales;
NC_023740,NZ_JXYE01000002,Rhodobacterales;
NC_023742,NZ_CP046058.1,Chroococcales;
NC_023745,NC_012490.1,Nocardiaceae;
NC_023747,NC_010163.1,Acholeplasmatales;
NC_023746,NZ_LT629758,Micromonosporaceae;
NC_023748,NZ_UFTQ01000003.1,Brevibacteriaceae;
NC_001900,NZ_CP011028.1,Alteromonadales;
KX781992,NZ_CP047242.1,Nostocaceae;
NC_001909,NZ_CP046058.1,Chroococcales;
KM101117,NC_010163.1,Acholeplasmatales;
NC_029059,NZ_CP010341.1,Propionibacteriaceae;
NC_007019,NZ_CM000747.1,Bacillales;
MG770213,NZ_LT629758,Micromonosporaceae;
NC_029050,NZ_RQHA01000004.1,Leptospiraceae;
MG770216,NZ_ATTH01000001,Order
NC_025422,NZ_CP021140.1,Eggerthellales;
NC_011398,CP001751,SAR116
NC_023686,NC_008095.1,Myxococcales;
NC_023565,NZ_LN831027.1,Fusobacteriaceae;
NC_023564,HG530068,Pseudomonadales;
NC_023687,NZ_LR131273.1,Tsukamurellaceae;
MH183162,NZ_CP019870.1,Clostridiales;
NC_023563,NZ_FODB01000122.1,Oceanospirillales;
JX307705,NC_006461.1,Thermales;
JX307704,NZ_LT629758,Micromonosporaceae;
NC_023568,NC_008095.1,Myxococcales;
JX307703,NZ_QGLK01000001.1,Bifidobacteriaceae;
JX307702,NZ_BEWM01000001.1,Rhodospirillales;
MK112534,NZ_JNIU01000001,Pelagibacterales;
MH727549,QLNP01000098,Micrococcaceae;
MK112536,NZ_CP023558.1,Alteromonadales;
JN116825,CP004353,Corynebacteriaceae;
MK112530,NZ_CP021654.1,Aeromonadales;
JN116823,NZ_FNSA01000003,Tsukamurellaceae;
NC_031085,NC_008095.1,Myxococcales;
NC_031087,NZ_CM000747.1,Bacillales;
MH727543,CP034433,Neisseriales;
MK112538,NZ_CP030777.1,Clostridiales;
MH727545,NZ_CP015750.1,Enterobacterales;
MH727546,CP001713,Chlamydiaceae;
MK279866,NZ_LT629758,Micromonosporaceae;
JF957058,NC_013501.1,Order
HM152765,NZ_CP011007.1,Bacillales;
HM152766,NZ_CP035765.1,Sphingomonadales;
MK279869,NC_012490.1,Nocardiaceae;
MH976517,NZ_MRCG01000001.1,Oscillatoriales;
KX589269,NZ_AP018203.1,Leptolyngbyaceae;
NC_022762,NC_008095.1,Myxococcales;
NC_022764,NZ_AP018203.1,Leptolyngbyaceae;
NC_022765,NZ_VISK01000013.1,Rhodospirillales;
NC_022766,NZ_CP007203.1,Aphanizomenonaceae;
NC_010353,NC_005042.1,Prochloraceae;
NC_022768,NC_008095.1,Myxococcales;
MK279859,NZ_LR215047.1,Mycoplasmataceae;
MK279858,NZ_CP012958.1,Pasteurellales;
MK279851,NZ_RQHA01000004.1,Leptospiraceae;
JF957060,NZ_CM000747.1,Bacillales;
MK279853,NZ_LR131273.1,Tsukamurellaceae;
MK279852,NC_006461.1,Thermales;
MK279854,NC_006461.1,Thermales;
MK279857,NZ_PKKP01000001.1,Actinomycetaceae;
MK279856,NZ_JH719383.1,Rhizobiales;
MH825709,NC_006461.1,Thermales;
NC_011534,NZ_RQHA01000004.1,Leptospiraceae;
NC_029071,NZ_HF571038.1,Intrasporangiaceae;
KT783672,NC_005042.1,Prochloraceae;
NC_028988,NC_012490.1,Nocardiaceae;
NC_028986,CP023315,Caulobacterales;
NC_028805,NZ_HF571038.1,Intrasporangiaceae;
NC_013195,NZ_PKKP01000001.1,Actinomycetaceae;
NC_024121,NZ_CP046058.1,Chroococcales;
NC_010363,NZ_CP035765.1,Sphingomonadales;
NC_004678,NC_012490.1,Nocardiaceae;
NC_004679,NZ_JMSZ01000016,Oceanospirillales;
NC_013694,NC_011071.1,Xanthomonadales;
NC_020483,NZ_CP021140.1,Eggerthellales;
NC_020482,NZ_RQHA01000004.1,Leptospiraceae;
NC_020481,NZ_AP018203.1,Leptolyngbyaceae;
NC_020480,CP003184,Thermoanaerobacterales;
NC_019726,SDYW01000001,Bacteria
MG298964,NZ_CP009764.1,Burkholderiales;
KX752698,NC_006461.1,Thermales;
MG757167,NZ_CP029197.1,Streptomycetaceae;
NC_027991,NZ_LN831039.1,Mycobacteriaceae;
MG757164,NC_012490.1,Nocardiaceae;
MG757165,NC_015601.1,Erysipelotrichales;
NC_013697,NZ_CP010899.1,Entomoplasmatales;
MG757162,CP001751,SAR116
NC_005857,NZ_CP007203.1,Aphanizomenonaceae;
NC_028800,NZ_PKKP01000001.1,Actinomycetaceae;
NC_022053,NZ_NQCD01000010.1,Enterobacterales;
MG925354,CP019892,Microbacteriaceae;
KT363731,NC_011071.1,Xanthomonadales;
MG925355,CP001751,SAR116
MF185728,NZ_CP046058.1,Chroococcales;
MF185729,NZ_ATTH01000001,Order
KX620751,NZ_LN831039.1,Mycobacteriaceae;
MF185725,NZ_SGOE01000001.1,Rhizobiales;
MF185726,NZ_CP018296.1,Chlamydiaceae;
KX620752,NZ_CP047242.1,Nostocaceae;
MF185721,NZ_BEWM01000001.1,Rhodospirillales;
MF185722,LC361338,Micrococcaceae;
MF185723,NC_015601.1,Erysipelotrichales;
MH697575,NZ_CP035765.1,Sphingomonadales;
NC_001697,NZ_CP007203.1,Aphanizomenonaceae;
MH697577,NC_006085.1,Propionibacteriaceae;
MH697576,NZ_CP035765.1,Sphingomonadales;
KT990218,CP001751,SAR116
MH697579,NZ_AP018203.1,Leptolyngbyaceae;
MH697578,NZ_LR215047.1,Mycoplasmataceae;
NC_021061,NZ_CP021654.1,Aeromonadales;
KT364588,NZ_LN831027.1,Fusobacteriaceae;
NC_022058,NZ_AP018203.1,Leptolyngbyaceae;
MH047631,NZ_CP019870.1,Clostridiales;
MF668283,NZ_RQHA01000004.1,Leptospiraceae;
MF668281,NZ_CP027407.1,Rhodobacterales;
MF668280,NZ_MRCG01000001.1,Oscillatoriales;
MF668287,NZ_CP011028.1,Alteromonadales;
MF668286,SDYW01000001,Bacteria
MF668285,NZ_UFTQ01000001,Brevibacteriaceae;
MF668284,NC_006085.1,Propionibacteriaceae;
MH697593,NZ_CP013197.1,Entomoplasmatales;
MH697592,NC_008095.1,Myxococcales;
MH697591,NZ_JH719383.1,Rhizobiales;
MH697590,NZ_CP027407.1,Rhodobacterales;
JN049605,NZ_FODB01000122.1,Oceanospirillales;
KY083062,NZ_ADEZ01000001.1,Rhizobiales;
MH000607,NZ_CP010899.1,Entomoplasmatales;
MH000606,NZ_CM002803,Oscillatoriales;
MK359312,NC_006085.1,Propionibacteriaceae;
MK359311,NZ_JNIU01000001,Pelagibacterales;
MK359310,NC_008261.1,Clostridiales;
MK359317,NZ_CP034148.1,Enterobacterales;
MK359316,SDYW01000001,Bacteria
